Date,Name,Transaction,Event,Units
05-01-2015,GSPL.NS,Open,Buy,887
05-01-2015,GSPL.NS,Close,Sell,887
13-02-2015,SBIN.NS,Open,Buy,359
13-02-2015,SBIN.NS,Close,Sell,359
19-02-2015,JSWSTEEL.NS,Open,Buy,1070
19-02-2015,JSWSTEEL.NS,Close,Sell,1070
05-01-2015,GSPL.NS,Open,Buy,887
05-01-2015,GSPL.NS,Close,Sell,887
13-02-2015,SBIN.NS,Open,Buy,359
13-02-2015,SBIN.NS,Close,Sell,359
19-02-2015,JSWSTEEL.NS,Open,Buy,1070
19-02-2015,JSWSTEEL.NS,Close,Sell,1070
27-02-2015,YESBANK.NS,Close,Buy,642
02-03-2015,YESBANK.NS,Open,Sell,642
10-03-2015,BHARTIARTL.NS,Open,Buy,340
10-03-2015,BHARTIARTL.NS,Close,Sell,340
11-03-2015,BHARTIARTL.NS,Open,Buy,321
11-03-2015,BHARTIARTL.NS,Close,Sell,321
23-03-2015,GSPL.NS,Open,Buy,935
23-03-2015,GSPL.NS,Close,Sell,935
01-04-2015,SAIL.BO,Open,Buy,1641
01-04-2015,SAIL.BO,Close,Sell,1641
23-04-2015,YESBANK.NS,Open,Buy,683
23-04-2015,YESBANK.NS,Close,Sell,683
11-05-2015,GSPL.NS,Open,Buy,1005
11-05-2015,GSPL.NS,Close,Sell,1005
14-05-2015,JSWENERGY.BO,Open,Buy,1063
14-05-2015,JSWENERGY.BO,Close,Sell,1063
29-05-2015,BHARTIARTL.NS,Open,Buy,303
29-05-2015,BHARTIARTL.NS,Close,Sell,303
16-07-2015,GSPL.NS,Open,Buy,895
16-07-2015,GSPL.NS,Close,Sell,895
14-08-2015,JSWENERGY.BO,Open,Buy,1630
14-08-2015,JSWENERGY.BO,Close,Sell,1630
17-08-2015,JSWSTEEL.NS,Open,Buy,1276
17-08-2015,JSWSTEEL.NS,Close,Sell,1276
25-08-2015,JSWENERGY.BO,Open,Buy,1922
25-08-2015,JSWENERGY.BO,Close,Sell,1922
08-09-2015,JSWENERGY.BO,Open,Buy,1749
08-09-2015,JSWENERGY.BO,Close,Sell,1749
10-09-2015,JSWENERGY.BO,Open,Buy,1602
10-09-2015,JSWENERGY.BO,Close,Sell,1602
30-09-2015,JSWENERGY.BO,Open,Buy,1416
30-09-2015,JSWENERGY.BO,Close,Sell,1416
14-10-2015,GSPL.NS,Open,Buy,1097
14-10-2015,GSPL.NS,Close,Sell,1097
15-10-2015,TATAMOTORS.NS,Open,Buy,364
15-10-2015,TATAMOTORS.NS,Close,Sell,364
09-11-2015,TATAMOTORS.NS,Open,Buy,353
09-11-2015,TATAMOTORS.NS,Close,Sell,353
01-12-2015,JSWSTEEL.NS,Open,Buy,1548
01-12-2015,JSWSTEEL.NS,Close,Sell,1548
04-12-2015,SAIL.BO,Close,Buy,2973
07-12-2015,SAIL.BO,Open,Sell,2973
14-12-2015,JSWSTEEL.NS,Open,Buy,1456
14-12-2015,JSWSTEEL.NS,Close,Sell,1456
17-12-2015,SAIL.BO,Open,Buy,3102
17-12-2015,SAIL.BO,Close,Sell,3102
22-12-2015,GSPL.NS,Open,Buy,1105
22-12-2015,GSPL.NS,Close,Sell,1105
05-01-2016,GSPL.NS,Open,Buy,1026
05-01-2016,GSPL.NS,Close,Sell,1026
19-01-2016,JSWENERGY.BO,Open,Buy,2111
19-01-2016,JSWENERGY.BO,Close,Sell,2111
29-01-2016,YESBANK.NS,Open,Buy,1125
29-01-2016,YESBANK.NS,Close,Sell,1125
05-02-2016,SAIL.BO,Open,Buy,4142
05-02-2016,SAIL.BO,Close,Sell,4142
12-02-2016,TATAMOTORS.NS,Open,Buy,572
12-02-2016,TATAMOTORS.NS,Close,Sell,572
15-02-2016,TATAMOTORS.NS,Open,Buy,544
15-02-2016,TATAMOTORS.NS,Close,Sell,544
01-03-2016,SBIN.NS,Close,Buy,1012
02-03-2016,SBIN.NS,Open,Sell,1012
08-03-2016,SAIL.BO,Open,Buy,4147
08-03-2016,SAIL.BO,Close,Sell,4147
27-05-2016,SBIN.NS,Open,Buy,927
27-05-2016,SBIN.NS,Close,Sell,927
30-05-2016,TATAMOTORS.NS,Close,Buy,409
31-05-2016,TATAMOTORS.NS,Open,Sell,409
08-06-2016,JSWENERGY.BO,Open,Buy,2464
08-06-2016,JSWENERGY.BO,Close,Sell,2464
09-06-2016,SAIL.BO,Open,Buy,4420
09-06-2016,SAIL.BO,Close,Sell,4420
29-06-2016,JSWENERGY.BO,Open,Buy,2351
29-06-2016,JSWENERGY.BO,Close,Sell,2351
15-07-2016,NTPC.NS,Open,Buy,1583
15-07-2016,NTPC.NS,Close,Sell,1583
12-08-2016,SBIN.NS,Open,Buy,863
12-08-2016,SBIN.NS,Close,Sell,863
18-08-2016,GSPL.NS,Open,Buy,1387
18-08-2016,GSPL.NS,Close,Sell,1387
06-09-2016,TATAMOTORS.NS,Open,Buy,362
06-09-2016,TATAMOTORS.NS,Close,Sell,362
07-09-2016,SAIL.BO,Open,Buy,4153
07-09-2016,SAIL.BO,Close,Sell,4153
09-11-2016,SBIN.NS,Open,Buy,871
09-11-2016,SBIN.NS,Close,Sell,871
10-11-2016,SBIN.NS,Open,Buy,806
10-11-2016,SBIN.NS,Close,Sell,806
28-11-2016,BHARTIARTL.NS,Open,Buy,779
28-11-2016,BHARTIARTL.NS,Close,Sell,779
05-01-2017,JSWSTEEL.NS,Open,Buy,1321
05-01-2017,JSWSTEEL.NS,Close,Sell,1321
06-01-2017,JSWENERGY.BO,Open,Buy,3556
06-01-2017,JSWENERGY.BO,Close,Sell,3556
11-01-2017,SAIL.BO,Open,Buy,4157
11-01-2017,SAIL.BO,Close,Sell,4157
12-01-2017,NTPC.NS,Open,Buy,1611
12-01-2017,NTPC.NS,Close,Sell,1611
17-01-2017,GSPL.NS,Open,Buy,1615
17-01-2017,GSPL.NS,Close,Sell,1615
23-01-2017,SAIL.BO,Open,Buy,3840
23-01-2017,SAIL.BO,Close,Sell,3840
30-01-2017,BHARTIARTL.NS,Open,Buy,753
30-01-2017,BHARTIARTL.NS,Close,Sell,753
06-02-2017,LAURUSLABS.NS,Open,Buy,2226
06-02-2017,LAURUSLABS.NS,Close,Sell,2226
07-02-2017,GSPL.NS,Open,Buy,1500
07-02-2017,GSPL.NS,Close,Sell,1500
22-02-2017,RELIANCE.NS,Open,Buy,438
