Date,Name of the stocks,Transaction Price,Event(Sell/Buy),Total Units
2015-01-05,GSPL.NS,112.69999694824219,BUY,887.0
2015-01-05,GSPL.NS,Close,SELL,887.0
2015-02-13,SBIN.NS,288.0,BUY,359.0
2015-02-13,SBIN.NS,Close,SELL,359.0
2015-02-19,JSWSTEEL.NS,97.87999725341797,BUY,1070.0
2015-02-19,JSWSTEEL.NS,Close,SELL,1070.0
2015-03-10,BHARTIARTL.NS,314.0628967285156,BUY,335.0
2015-03-10,BHARTIARTL.NS,Close,SELL,335.0
2015-03-11,BHARTIARTL.NS,339.7259826660156,BUY,317.0
2015-03-11,BHARTIARTL.NS,Close,SELL,317.0
2015-03-23,GSPL.NS,116.75,BUY,923.0
2015-03-23,GSPL.NS,Close,SELL,923.0
2015-04-01,SAIL.BO,66.80000305175781,BUY,1620.0
2015-04-01,SAIL.BO,Close,SELL,1620.0
2015-04-23,YESBANK.NS,161.0,BUY,675.0
2015-04-23,YESBANK.NS,Close,SELL,675.0
2015-05-11,GSPL.NS,110.0,BUY,992.0
2015-05-11,GSPL.NS,Close,SELL,992.0
2015-05-14,JSWENERGY.BO,105.4000015258789,BUY,1050.0
2015-05-14,JSWENERGY.BO,Close,SELL,1050.0
2015-05-29,BHARTIARTL.NS,369.79632568359375,BUY,299.0
2015-05-29,BHARTIARTL.NS,Close,SELL,299.0
2015-07-16,GSPL.NS,125.75,BUY,884.0
2015-07-16,GSPL.NS,Close,SELL,884.0
2015-08-14,JSWENERGY.BO,69.94999694824219,BUY,1609.0
2015-08-14,JSWENERGY.BO,Close,SELL,1609.0
2015-08-17,JSWSTEEL.NS,90.0,BUY,1260.0
2015-08-17,JSWSTEEL.NS,Close,SELL,1260.0
2015-08-25,TATAMOTORS.NS,308.0,BUY,375.0
2015-08-25,JSWENERGY.BO,61.0,BUY,4.0
2015-08-25,TATAMOTORS.NS,Close,SELL,375.0
2015-08-25,JSWENERGY.BO,Close,SELL,4.0
2015-09-08,YESBANK.NS,131.27999877929688,BUY,894.0
2015-09-08,JSWENERGY.BO,68.69999694824219,BUY,1.0
2015-09-08,YESBANK.NS,Close,SELL,894.0
2015-09-08,JSWENERGY.BO,Close,SELL,1.0
2015-09-10,JSWENERGY.BO,77.0,BUY,1538.0
2015-09-10,JSWENERGY.BO,Close,SELL,1538.0
2015-09-30,JSWENERGY.BO,88.05000305175781,BUY,1360.0
2015-09-30,JSWENERGY.BO,Close,SELL,1360.0
2015-10-14,GSPL.NS,115.19999694824219,BUY,1053.0
2015-10-14,GSPL.NS,Close,SELL,1053.0
2015-10-15,TATAMOTORS.NS,355.29998779296875,BUY,350.0
2015-10-15,TATAMOTORS.NS,Close,SELL,350.0
2015-11-09,TATAMOTORS.NS,374.0,BUY,339.0
2015-11-09,TATAMOTORS.NS,Close,SELL,339.0
2015-12-01,JSWSTEEL.NS,89.19999694824219,BUY,1486.0
2015-12-01,JSWSTEEL.NS,Close,SELL,1486.0
2015-12-14,JSWSTEEL.NS,96.9000015258789,BUY,1375.0
2015-12-14,JSWSTEEL.NS,Close,SELL,1375.0
2015-12-17,SAIL.BO,45.5,BUY,2931.0
2015-12-17,SAIL.BO,Close,SELL,2931.0
2015-12-22,GSPL.NS,128.25,BUY,1044.0
2015-12-22,GSPL.NS,Close,SELL,1044.0
2016-01-05,GSPL.NS,139.75,BUY,969.0
2016-01-05,SAIL.BO,48.0,BUY,2.0
2016-01-05,GSPL.NS,Close,SELL,969.0
2016-01-05,SAIL.BO,Close,SELL,2.0
2016-01-19,JSWENERGY.BO,69.0,BUY,1994.0
2016-01-19,JSWENERGY.BO,Close,SELL,1994.0
2016-01-29,YESBANK.NS,132.60000610351562,BUY,1063.0
2016-01-29,YESBANK.NS,Close,SELL,1063.0
2016-02-05,SAIL.BO,38.54999923706055,BUY,3913.0
2016-02-05,SAIL.BO,Close,SELL,3913.0
2016-02-12,TATAMOTORS.NS,281.0,BUY,540.0
2016-02-12,TATAMOTORS.NS,Close,SELL,540.0
2016-02-15,TATAMOTORS.NS,297.8999938964844,BUY,514.0
2016-02-15,TATAMOTORS.NS,Close,SELL,514.0
2016-03-08,SAIL.BO,40.0,BUY,3874.0
2016-03-08,SAIL.BO,Close,SELL,3874.0
2016-05-27,SBIN.NS,184.0,BUY,866.0
2016-05-27,SBIN.NS,Close,SELL,866.0
2016-06-08,JSWENERGY.BO,72.0,BUY,2238.0
2016-06-08,JSWENERGY.BO,Close,SELL,2238.0
2016-06-09,SAIL.BO,42.54999923706055,BUY,4016.0
2016-06-09,SAIL.BO,Close,SELL,4016.0
2016-06-29,JSWENERGY.BO,80.0999984741211,BUY,2136.0
2016-06-29,JSWENERGY.BO,Close,SELL,2136.0
2016-07-15,NTPC.NS,119.04166412353516,BUY,1439.0
2016-07-15,NTPC.NS,Close,SELL,1439.0
2016-08-12,SBIN.NS,227.0,BUY,784.0
2016-08-12,SBIN.NS,Close,SELL,784.0
2016-08-18,GSPL.NS,143.8000030517578,BUY,1260.0
2016-08-18,GSPL.NS,Close,SELL,1260.0
2016-09-06,TATAMOTORS.NS,556.3499755859375,BUY,328.0
2016-09-06,TATAMOTORS.NS,Close,SELL,328.0
2016-09-07,SAIL.BO,48.75,BUY,3773.0
2016-09-07,SAIL.BO,Close,SELL,3773.0
2016-11-09,DRREDDY.NS,3001.0,BUY,62.0
2016-11-09,DRREDDY.NS,Close,SELL,62.0
2016-11-10,SBIN.NS,267.0,BUY,724.0
2016-11-10,SBIN.NS,Close,SELL,724.0
2016-11-28,BHARTIARTL.NS,276.3717041015625,BUY,700.0
2016-11-28,BHARTIARTL.NS,Close,SELL,700.0
2017-01-05,JSWSTEEL.NS,164.0500030517578,BUY,1186.0
2017-01-05,JSWSTEEL.NS,Close,SELL,1186.0
2017-01-06,JSWENERGY.BO,62.0,BUY,3194.0
2017-01-06,JSWENERGY.BO,Close,SELL,3194.0
2017-01-11,SAIL.BO,53.099998474121094,BUY,3734.0
2017-01-11,SAIL.BO,Close,SELL,3734.0
2017-01-12,NTPC.NS,137.5,BUY,1447.0
2017-01-12,NTPC.NS,Close,SELL,1447.0
2017-01-17,GSPL.NS,137.1999969482422,BUY,1450.0
2017-01-17,GSPL.NS,Close,SELL,1450.0
2017-01-23,SAIL.BO,57.900001525878906,BUY,3449.0
2017-01-23,SAIL.BO,Close,SELL,3449.0
2017-01-30,BHARTIARTL.NS,296.6634216308594,BUY,676.0
2017-01-30,BHARTIARTL.NS,Close,SELL,676.0
2017-02-06,LAURUSLABS.NS,102.0,BUY,1999.0
2017-02-06,LAURUSLABS.NS,Close,SELL,1999.0
2017-02-07,GSPL.NS,157.0,BUY,1348.0
2017-02-07,GSPL.NS,Close,SELL,1348.0
2017-02-22,RELIANCE.NS,541.3683471679688,BUY,393.0
2017-02-22,RELIANCE.NS,Close,SELL,393.0
2017-05-10,BHARTIARTL.NS,308.9670104980469,BUY,723.0
2017-05-10,BHARTIARTL.NS,Close,SELL,723.0
2017-06-28,GSPL.NS,163.8000030517578,BUY,1436.0
2017-06-28,GSPL.NS,Close,SELL,1436.0
2017-07-26,YESBANK.NS,324.94000244140625,BUY,727.0
2017-07-26,YESBANK.NS,Close,SELL,727.0
2017-07-28,JSWENERGY.BO,67.44999694824219,BUY,3506.0
2017-07-28,JSWENERGY.BO,Close,SELL,3506.0
2017-08-28,JSWENERGY.BO,63.04999923706055,BUY,3806.0
2017-08-28,JSWENERGY.BO,Close,SELL,3806.0
2017-09-08,JSWENERGY.BO,67.30000305175781,BUY,3594.0
2017-09-08,JSWENERGY.BO,Close,SELL,3594.0
2017-09-20,BHARTIARTL.NS,340.6441650390625,BUY,723.0
2017-09-20,BHARTIARTL.NS,Close,SELL,723.0
2017-09-21,DRREDDY.NS,2346.25,BUY,106.0
2017-09-21,DRREDDY.NS,Close,SELL,106.0
2017-10-25,SBIN.NS,279.8500061035156,BUY,900.0
2017-10-25,SAIL.BO,62.5,BUY,3.0
2017-10-25,SBIN.NS,Close,SELL,900.0
2017-10-25,SAIL.BO,Close,SELL,3.0
2017-10-26,SAIL.BO,67.4000015258789,BUY,4124.0
2017-10-26,SAIL.BO,Close,SELL,4124.0
2017-11-03,SAIL.BO,80.25,BUY,3740.0
2017-11-03,SAIL.BO,Close,SELL,3740.0
2017-11-10,SBIN.NS,315.0,BUY,978.0
2017-11-10,SBIN.NS,Close,SELL,978.0
2017-12-07,BHARTIARTL.NS,445.3164978027344,BUY,696.0
2017-12-07,BHARTIARTL.NS,Close,SELL,696.0
2017-12-22,GSPL.NS,206.75,BUY,1512.0
2017-12-22,GSPL.NS,Close,SELL,1512.0
2018-02-05,BHARTIARTL.NS,383.5690002441406,BUY,826.0
2018-02-05,BHARTIARTL.NS,Close,SELL,826.0
2018-02-09,SAIL.BO,85.4000015258789,BUY,3717.0
2018-02-09,SAIL.BO,Close,SELL,3717.0
2018-03-20,SAIL.BO,68.30000305175781,BUY,4858.0
2018-03-20,SAIL.BO,Close,SELL,4858.0
2018-03-26,YESBANK.NS,286.5,BUY,1160.0
2018-03-26,YESBANK.NS,Close,SELL,1160.0
2018-04-03,JSWENERGY.BO,75.0,BUY,4459.0
2018-04-03,JSWENERGY.BO,Close,SELL,4459.0
2018-04-26,YESBANK.NS,327.95001220703125,BUY,1024.0
2018-04-26,YESBANK.NS,Close,SELL,1024.0
2018-05-22,DRREDDY.NS,1902.5,BUY,180.0
2018-05-22,DRREDDY.NS,Close,SELL,180.0
2018-05-28,JSWENERGY.BO,72.69999694824219,BUY,4733.0
2018-05-28,JSWENERGY.BO,Close,SELL,4733.0
2018-05-30,JSWENERGY.BO,76.0,BUY,4600.0
2018-05-30,JSWENERGY.BO,Close,SELL,4600.0
2018-06-07,SAIL.BO,78.0,BUY,4575.0
2018-06-07,SAIL.BO,Close,SELL,4575.0
2018-06-08,GSPL.NS,178.0500030517578,BUY,2012.0
2018-06-08,GSPL.NS,Close,SELL,2012.0
2018-07-30,BHARTIARTL.NS,329.62603759765625,BUY,1105.0
2018-07-30,BHARTIARTL.NS,Close,SELL,1105.0
2018-08-01,TATAMOTORS.NS,250.0,BUY,1478.0
2018-08-01,TATAMOTORS.NS,Close,SELL,1478.0
2018-08-24,JSWSTEEL.NS,336.04998779296875,BUY,1107.0
2018-08-24,JSWSTEEL.NS,Close,SELL,1107.0
2018-08-29,JSWSTEEL.NS,371.3999938964844,BUY,1005.0
2018-08-29,JSWSTEEL.NS,Close,SELL,1005.0
2018-09-06,GSPL.NS,184.5,BUY,2065.0
2018-09-06,GSPL.NS,Close,SELL,2065.0
2018-10-01,YESBANK.NS,180.0,BUY,2130.0
